,map_id,time_event,description,victim_name,victim_x,victim_y,victim_rank,killer_name,killer_x,killer_y,killer_rank
0,MIRAMAR,1155,M16A4,XiaoJue,462255.1,306961.6,26,Best-JW,465013.0,308256.3,15.0
1,MIRAMAR,1861,M416,Survivaler,406298.8,405148.1,2,Romantic_Man,406083.1,401319.2,1.0
2,MIRAMAR,732,RedZone,BaoZou_007,172832.4,418396.3,38,,,,
3,MIRAMAR,1182,Bluezone,Lei-digaga,0.0,0.0,80,,,,
4,MIRAMAR,1380,Grenade,Best-JW,449262.1,307263.2,15,YLwzf,444647.4,303594.8,5.0
5,MIRAMAR,179,M16A4,mangdow,370717.8,422735.2,67,XiaoJue,368945.2,423695.3,26.0
6,MIRAMAR,89,Mini 14,JasonStathamerro,434035.5,278743.6,87,zhiyege,434141.5,278923.8,84.0
7,MIRAMAR,912,M416,asdvcsad,363801.9,302425.7,32,HandQQQQ,361570.9,299129.8,13.0
8,MIRAMAR,151,UMP9,Demon1Xq,726667.4,70124.46,70,Best-JW,726525.0,72911.84,15.0
9,MIRAMAR,1308,M416,Arlen1990,363230.5,302590.5,19,HandQQQQ,361785.5,301091.2,13.0
10,MIRAMAR,114,S12K,wangxiao8875,442334.0,281156.1,79,Milo2011,442756.6,280511.8,57.0
11,MIRAMAR,95,Mini 14,zhiyege,434438.8,278932.3,84,wefewfased,434078.7,278922.9,83.0
12,MIRAMAR,125,SKS,ANK20,371129.3,423450.7,75,XiaoJue,366788.8,423159.3,26.0
13,MIRAMAR,230,AKM,sillz,134900.3,263156.8,61,AgNi1413,135200.4,264443.9,28.0
14,MIRAMAR,1270,M416,DaYi,386981.5,360543.6,20,FlamingoNYJ,388760.7,363271.1,4.0
15,MIRAMAR,1440,Kar98k,HG-King-Nick,402685.6,431445.9,12,MingYun7c,414026.9,426796.3,3.0
16,MIRAMAR,1755,M24,FlamingoNYJ,397088.1,386200.4,4,MingYun7c,399917.6,396142.1,3.0
17,MIRAMAR,1492,Hit by Car,77oo_,400549.0,356569.1,9,77oo_,400549.0,356569.1,9.0
18,MIRAMAR,351,UMP9,MOEnacional,374204.6,294103.1,50,Survivaler,374089.6,293279.1,2.0
19,MIRAMAR,105,S12K,weichango,442725.3,280559.5,82,Milo2011,442565.6,280733.7,57.0
20,MIRAMAR,482,AKM,THE2SIR,429795.6,185988.2,45,YLwzf,448392.1,165867.8,5.0
21,MIRAMAR,1515,Grenade,Yubin01,452492.6,388605.4,6,Romantic_Man,456246.3,384499.4,1.0
22,MIRAMAR,1494,Bluezone,SUP2411,391742.0,331215.8,8,,,,
23,MIRAMAR,162,M16A4,Blood_sp1der,434496.2,280164.9,69,The_Food,435127.8,280137.7,44.0
24,MIRAMAR,137,Mini 14,woainiaini,686735.4,66147.18,72,Romantic_Man,686295.6,65324.78,1.0
25,MIRAMAR,276,P1911,Steddyn,244909.5,420661.1,55,zhengqidxal,244358.2,420443.3,42.0
26,MIRAMAR,109,SKS,DuckF55k,367357.2,423464.7,81,XiaoJue,367549.8,424090.3,26.0
27,MIRAMAR,1217,M416,MLGB1237,415117.3,424682.8,23,azhuangzuyu,416391.8,423072.2,22.0
28,MIRAMAR,117,Punch,WNCNN,144303.6,414676.3,76,BaoZou_007,144224.4,414664.4,38.0
29,MIRAMAR,114,S12K,ThreeCrazy,364557.2,264369.2,78,MOEnacional,365103.2,264779.1,50.0
30,MIRAMAR,370,M416,Yxy-grave,481830.1,351052.6,49,FlamingoNYJ,481378.9,350105.6,4.0
31,MIRAMAR,1497,Bluezone,Sadnm_Amor,0.0,0.0,14,,,,
32,MIRAMAR,720,Mini 14,ccxuexue,548314.6,264662.6,39,chicken-thigh,541043.3,263996.9,27.0
33,MIRAMAR,182,M16A4,Annnnnnnnnn-n,434754.4,182334.2,65,THE2SIR,428087.3,177662.3,45.0
34,MIRAMAR,80,Mini 14,YANyc139,713357.4,54930.09,91,chicken-thigh,714167.8,54203.44,27.0
35,MIRAMAR,649,M416,ZCR-TT,506970.9,268954.0,41,xiaozheng7777777,507105.8,267526.0,30.0
36,MIRAMAR,755,M16A4,HAHA0794,378932.7,287403.8,37,Survivaler,377765.1,286859.9,2.0
37,MIRAMAR,196,Mini 14,rinimei666,345352.3,290026.0,63,HandQQQQ,343816.6,287622.2,13.0
38,MIRAMAR,383,UMP9,1130422802,363478.9,303317.3,47,HandQQQQ,363399.5,303598.5,13.0
39,MIRAMAR,147,AKM,2750386855,433986.9,199394.3,71,Alloy-1,434183.5,198577.7,54.0
40,MIRAMAR,242,M16A4,Wisperzzzzz,369216.7,421037.4,59,XiaoJue,367515.9,421242.8,26.0
41,MIRAMAR,83,S1897,MonkeyYoung,512590.5,109521.0,90,YLwzf,513582.0,108403.5,5.0
42,MIRAMAR,86,SCAR-L,Sunnydayzzz,436920.4,277175.2,89,Blood_sp1der,436993.7,276848.5,69.0
43,MIRAMAR,1489,Kar98k,SaoNiMmm,384844.0,389351.2,11,MingYun7c,415013.3,426628.9,3.0
