,total_rank,nickname,rank,kills,damage_dealt,walk_distance,ride_distance,time_survived
0,88,U5andSUN,82,0,0,50.31838,0.0,104.36200000000001
1,88,shazhuzhezhe,41,1,98,526.558044,0.0,277.422
2,88,sdycfhb,88,0,0,0.0,0.0,169.175
3,88,South_Emperor,39,1,100,219.95369,0.0,283.58099999999996
4,88,xiaogegechiji,51,1,100,277.9908,0.0,216.388
5,88,Luajie,47,0,0,350.543945,0.0,233.739
6,88,SuperDogRain,80,0,79,44.3935738,0.0,107.17
7,88,LemonBearXD,24,0,9,1389.07654,238.445709,504.05199999999996
8,88,Suprermehaha,88,0,0,0.0,0.0,85.024
9,88,2017121210,64,0,0,0.0,0.0,169.18599999999998
10,88,wutao2333,22,1,98,1120.78857,0.0,551.73
11,88,FZ_Q_703788228,2,1,61,2477.0275899999997,5362.69,1349.836
12,88,Night_LoneWolf,60,0,26,174.10994,0.0,172.345
13,88,MMMMMJT,87,0,0,5.974997,0.0,85.48299999999999
14,88,AAAmoon,68,0,0,157.164352,0.0,144.361
15,88,JinWenShuaiBi,72,1,100,72.09791,0.0,130.94799999999998
16,88,SongXIdatietou,7,0,30,1117.48755,7943.193359999999,1209.0819999999999
17,88,palasuo,53,1,99,160.787811,0.0,214.11
18,88,LzyWx,36,0,0,269.09198,0.0,345.665
19,88,xozhang,73,0,0,13.653939999999999,0.0,129.014
20,88,ksD-AK,40,2,220,361.52597000000003,0.0,281.64799999999997
21,88,FuJianJinJiang,21,2,287,1100.40491,0.0,571.049
22,88,Young_Richman,19,4,539,866.0097,0.0,789.363
23,88,meiyifeng111,38,1,146,373.671021,0.0,293.819
24,88,Seraphim_Cui,85,0,0,14.0739,0.0,91.969
25,88,CN2DY,69,0,27,34.652504,0.0,140.346
26,88,CQfengjieAhui,88,0,0,0.0,0.0,223.047
27,88,gaxiaohuai,46,0,0,201.049957,0.0,237.245
28,88,1911AZ,23,1,150,1065.67029,0.0,517.711
29,88,XiaoJue,86,0,42,6.3374239999999995,0.0,89.32
30,88,Coastallk,28,0,204,593.6074,1061.80432,442.29400000000004
31,88,Quaner1994,20,0,50,1350.0764199999999,0.0,631.485
32,88,nxn0204,88,0,0,0.0,0.0,169.195
33,88,3maiythe,74,3,295,30.4205132,0.0,123.044
34,88,HJH643,26,5,411,404.792725,0.0,456.983
35,88,KDT_JiN,78,0,161,42.15978,0.0,109.928
36,88,GyhKbz_Nan,54,0,0,214.341751,0.0,213.421
37,88,Weigoumisiwnnmo,70,0,0,28.418212899999997,0.0,138.041
38,88,A1JIE,16,1,141,1484.43958,619.449768,850.247
39,88,WCH0227,77,0,0,52.6253471,0.0,116.209
